#START7777
# REG_ID TM_FC        TM_EF        MOD NE STN C MAN_ID       MAN_FC     W1 T W2  TA  ST SKY  PREP WF
11B10101 202412080500 202412080000 A02  0 109 2 lan98        이혜란     W  1 NW -99   0 DB01    0 "맑음"
11B10101 202412080500 202412081200 A02  1 109 2 lan98        이혜란     NW 1 N    4   0 DB01    0 "맑음"
11B10101 202412080500 202412090000 A02  2 109 2 lan98        이혜란     NW 1 N   -3  10 DB01    0 "맑음"
11B10101 202412080500 202412091200 A02  3 109 2 lan98        이혜란     NW 1 N    6  20 DB03    0 "구름많음"
11B10101 202412080500 202412100000 A02  4 109 2 lan98        이혜란     NW 1 N   -2   0 DB01    0 "맑음"
11B10101 202412080500 202412101200 A02  5 109 2 lan98        이혜란     W  1 NW   7  20 DB03    0 "구름많음"
11B10101 202412080500 202412110000 A02  6 109 2 lan98        이혜란     W  1 NW  -2  20 DB03    0 "구름많음"
11B10101 202412080500 202412111200 A02  7 109 2 lan98        이혜란     NW 1 N    6   0 DB01    0 "맑음"
#7777END
